id,year,month,day,hr,min,sec,Lat,Lon,depth,Mw,time_date
305,2016,10,28,3,52,1,42.869,13.0528,8.3,3.09,28/10/2016 03:52
306,2016,10,28,5,34,51,42.8933,13.178,8.5,3.2,28/10/2016 05:34
307,2016,10,28,8,10,52,42.9597,13.1405,7.9,3.31,28/10/2016 08:10
308,2016,10,28,9,12,13,42.9245,13.1117,8.2,3.38,28/10/2016 09:12
309,2016,10,28,10,11,3,43.036,13.1253,9,3.11,28/10/2016 10:11
310,2016,10,28,13,56,32,42.8647,13.2142,5.1,3.71,28/10/2016 13:56
311,2016,10,28,15,56,59,42.7878,13.1193,10.8,3.79,28/10/2016 15:56
312,2016,10,28,19,56,31,42.8662,13.1617,9.7,3.72,28/10/2016 19:56
313,2016,10,28,22,0,16,42.8052,13.1423,8.9,3.14,28/10/2016 22:00
314,2016,10,28,23,18,10,42.8798,13.0938,8.9,3.46,28/10/2016 23:18
315,2016,10,29,8,48,54,42.9923,13.0492,8.6,3.46,29/10/2016 08:48
